datetime,open,high,low,close,volume
2023-11-05 04:45:00,1.085,1.09,1.0843,1.0892,265846.9
2023-11-05 05:00:00,1.0892,1.0994,1.0891,1.098,338013.1
2023-11-05 05:15:00,1.0981,1.0988,1.091,1.096,367363.4
2023-11-05 05:30:00,1.0961,1.1033,1.0949,1.0951,640006.1
2023-11-05 05:45:00,1.0952,1.1026,1.0952,1.0996,326368.3
2023-11-05 06:00:00,1.1005,1.1008,1.0937,1.0965,383879.9
2023-11-05 06:15:00,1.0962,1.0972,1.0898,1.092,318445.4
2023-11-05 06:30:00,1.092,1.0933,1.086,1.0895,574323.6
2023-11-05 06:45:00,1.0889,1.0896,1.0844,1.087,372603.9
2023-11-05 07:00:00,1.0873,1.0895,1.0852,1.0859,273661.2
2023-11-05 07:15:00,1.0856,1.0928,1.0853,1.0914,395566.4
2023-11-05 07:30:00,1.0913,1.0938,1.087,1.0907,492737.9
2023-11-05 07:45:00,1.0908,1.0956,1.0907,1.0924,151768.8
2023-11-05 08:00:00,1.0925,1.0945,1.0902,1.0936,238845.5
2023-11-05 08:15:00,1.0937,1.1019,1.0924,1.1003,885586.2
2023-11-05 08:30:00,1.1001,1.1041,1.0912,1.0932,681059.8
2023-11-05 08:45:00,1.093,1.0935,1.085,1.0859,734677.2
2023-11-05 09:00:00,1.0859,1.0926,1.0841,1.0923,396759.6
2023-11-05 09:15:00,1.0923,1.0944,1.0905,1.0944,172477.7
2023-11-05 09:30:00,1.0943,1.0989,1.0911,1.0966,354200.4
2023-11-05 09:45:00,1.0963,1.1,1.0951,1.0987,413917.5
2023-11-05 10:00:00,1.0987,1.0996,1.093,1.093,325696.6
2023-11-05 10:15:00,1.0931,1.0952,1.0897,1.0899,329325.7
2023-11-05 10:30:00,1.09,1.0969,1.0896,1.0933,247737.2
2023-11-05 10:45:00,1.0936,1.0959,1.0921,1.093,216364.2
2023-11-05 11:00:00,1.0933,1.0954,1.089,1.0931,394018.1
2023-11-05 11:15:00,1.0932,1.0998,1.0917,1.0985,436405.6
2023-11-05 11:30:00,1.0991,1.1121,1.0983,1.1037,986557.0
2023-11-05 11:45:00,1.1038,1.1054,1.096,1.098,375777.7
2023-11-05 12:00:00,1.0984,1.1075,1.0966,1.1005,591481.7
2023-11-05 12:15:00,1.1005,1.1048,1.0949,1.1043,425983.9
2023-11-05 12:30:00,1.1041,1.1059,1.1,1.1021,389566.5
2023-11-05 12:45:00,1.1021,1.1055,1.0965,1.0969,409251.7
2023-11-05 13:00:00,1.0968,1.0994,1.0955,1.0965,245410.1
2023-11-05 13:15:00,1.0965,1.0967,1.085,1.0869,1017283.9
2023-11-05 13:30:00,1.0868,1.0921,1.0861,1.0875,354249.1
2023-11-05 13:45:00,1.0877,1.0882,1.0551,1.0609,2319686.2
2023-11-05 14:00:00,1.061,1.0737,1.0599,1.0701,2106562.2
2023-11-05 14:15:00,1.0702,1.0758,1.0699,1.0743,602624.3
2023-11-05 14:30:00,1.0739,1.0774,1.0697,1.0743,701917.6
2023-11-05 14:45:00,1.0743,1.0791,1.0709,1.0763,549217.0
2023-11-05 15:00:00,1.0763,1.0797,1.0736,1.0751,438453.2
2023-11-05 15:15:00,1.075,1.0771,1.0699,1.0768,1043828.0
2023-11-05 15:30:00,1.0765,1.0775,1.0712,1.072,288486.0
2023-11-05 15:45:00,1.072,1.0775,1.0691,1.0743,587163.2
2023-11-05 16:00:00,1.0744,1.0796,1.0726,1.0776,495176.4
2023-11-05 16:15:00,1.0776,1.0809,1.0772,1.0797,432605.1
2023-11-05 16:30:00,1.0794,1.0832,1.079,1.0828,744201.9
2023-11-05 16:45:00,1.0827,1.0978,1.0826,1.0903,1358981.2
2023-11-05 17:00:00,1.0903,1.099,1.0883,1.0959,1075029.7
2023-11-05 17:15:00,1.0959,1.0969,1.0897,1.0948,404238.6
2023-11-05 17:30:00,1.095,1.101,1.0908,1.0994,730604.5
2023-11-05 17:45:00,1.0993,1.1099,1.0993,1.1048,985518.8
2023-11-05 18:00:00,1.1049,1.1157,1.1021,1.1077,1383615.9
2023-11-05 18:15:00,1.1076,1.1119,1.103,1.1069,866242.4
2023-11-05 18:30:00,1.1069,1.1074,1.1027,1.1058,430798.3
2023-11-05 18:45:00,1.1058,1.1069,1.1003,1.101,384201.6
2023-11-05 19:00:00,1.1009,1.1049,1.1,1.1023,265807.6
2023-11-05 19:15:00,1.1027,1.105,1.0982,1.0995,287472.1
2023-11-05 19:30:00,1.0995,1.1006,1.0932,1.0974,726427.4
2023-11-05 19:45:00,1.0975,1.0996,1.0923,1.0933,249064.9
2023-11-05 20:00:00,1.0933,1.0987,1.093,1.0973,133230.3
2023-11-05 20:15:00,1.0972,1.1008,1.0959,1.0998,157986.2
2023-11-05 20:30:00,1.0995,1.0996,1.0954,1.0973,185012.2
2023-11-05 20:45:00,1.0971,1.0971,1.0862,1.0876,582828.9
2023-11-05 21:00:00,1.0877,1.0902,1.085,1.0868,268272.9
2023-11-05 21:15:00,1.0865,1.0887,1.0788,1.0795,345846.9
2023-11-05 21:30:00,1.0797,1.0826,1.075,1.0802,600123.3
2023-11-05 21:45:00,1.0804,1.0805,1.065,1.0761,947689.0
2023-11-05 22:00:00,1.0761,1.0844,1.0751,1.0811,730114.3
2023-11-05 22:15:00,1.0808,1.0841,1.0808,1.0837,263033.1
2023-11-05 22:30:00,1.0837,1.0848,1.0815,1.0826,228790.6
2023-11-05 22:45:00,1.0827,1.0897,1.0825,1.0894,293442.9
2023-11-05 23:00:00,1.0894,1.1017,1.0894,1.0975,705824.3
