datetime,open,high,low,close,volume
2023-11-05 04:35:00,4.869,4.88,4.856,4.857,34664.64
2023-11-05 04:40:00,4.859,4.87,4.838,4.847,30954.51
2023-11-05 04:45:00,4.847,4.866,4.841,4.866,5388.67
2023-11-05 04:50:00,4.866,4.876,4.86,4.862,11410.33
2023-11-05 04:55:00,4.863,4.874,4.858,4.858,12205.25
2023-11-05 05:00:00,4.861,4.875,4.853,4.857,14939.19
2023-11-05 05:05:00,4.859,4.884,4.856,4.884,11419.85
2023-11-05 05:10:00,4.885,4.889,4.871,4.881,17897.74
2023-11-05 05:15:00,4.881,4.886,4.86,4.863,29553.08
2023-11-05 05:20:00,4.865,4.87,4.855,4.861,14908.86
2023-11-05 05:25:00,4.86,4.866,4.846,4.859,28576.82
2023-11-05 05:30:00,4.86,4.876,4.856,4.873,13938.95
2023-11-05 05:35:00,4.875,4.883,4.867,4.875,18630.85
2023-11-05 05:40:00,4.874,4.879,4.849,4.852,8640.51
2023-11-05 05:45:00,4.852,4.883,4.85,4.881,13779.53
2023-11-05 05:50:00,4.881,4.896,4.873,4.876,23700.53
2023-11-05 05:55:00,4.874,4.886,4.872,4.879,8060.85
2023-11-05 06:00:00,4.882,4.9,4.874,4.887,13708.98
2023-11-05 06:05:00,4.887,4.891,4.88,4.888,3242.32
2023-11-05 06:10:00,4.889,4.89,4.87,4.874,8052.22
2023-11-05 06:15:00,4.875,4.882,4.864,4.88,11172.45
2023-11-05 06:20:00,4.879,4.882,4.857,4.857,8295.71
2023-11-05 06:25:00,4.858,4.867,4.853,4.864,6548.74
2023-11-05 06:30:00,4.864,4.866,4.833,4.835,45150.21
2023-11-05 06:35:00,4.834,4.846,4.833,4.843,10862.54
2023-11-05 06:40:00,4.843,4.843,4.813,4.818,35825.01
2023-11-05 06:45:00,4.818,4.829,4.812,4.82,20952.9
2023-11-05 06:50:00,4.818,4.821,4.798,4.81,22837.24
2023-11-05 06:55:00,4.81,4.816,4.797,4.812,12441.84
2023-11-05 07:00:00,4.81,4.816,4.803,4.807,14025.48
2023-11-05 07:05:00,4.806,4.813,4.797,4.807,11388.07
2023-11-05 07:10:00,4.807,4.811,4.802,4.802,7433.32
2023-11-05 07:15:00,4.802,4.819,4.802,4.817,5535.84
2023-11-05 07:20:00,4.817,4.832,4.817,4.831,4533.2
2023-11-05 07:25:00,4.832,4.84,4.825,4.826,17378.38
2023-11-05 07:30:00,4.827,4.832,4.825,4.827,4780.89
2023-11-05 07:35:00,4.827,4.833,4.82,4.821,5659.09
2023-11-05 07:40:00,4.823,4.825,4.82,4.824,6917.1
2023-11-05 07:45:00,4.824,4.839,4.823,4.832,10466.27
2023-11-05 07:50:00,4.832,4.838,4.83,4.833,4895.68
2023-11-05 07:55:00,4.835,4.84,4.826,4.83,7687.78
2023-11-05 08:00:00,4.83,4.835,4.821,4.833,7245.84
2023-11-05 08:05:00,4.831,4.842,4.826,4.827,19508.73
2023-11-05 08:10:00,4.827,4.836,4.825,4.831,5312.12
2023-11-05 08:15:00,4.831,4.831,4.825,4.829,6550.61
2023-11-05 08:20:00,4.829,4.844,4.827,4.844,4690.87
2023-11-05 08:25:00,4.844,4.847,4.835,4.847,12162.9
2023-11-05 08:30:00,4.848,4.855,4.84,4.842,29822.71
2023-11-05 08:35:00,4.841,4.858,4.834,4.836,17585.79
2023-11-05 08:40:00,4.836,4.837,4.813,4.817,48838.0
2023-11-05 08:45:00,4.817,4.834,4.768,4.786,57138.34
2023-11-05 08:50:00,4.786,4.793,4.769,4.784,28058.17
2023-11-05 08:55:00,4.784,4.789,4.76,4.774,17097.05
2023-11-05 09:00:00,4.776,4.793,4.772,4.793,14952.95
2023-11-05 09:05:00,4.792,4.805,4.785,4.802,23135.4
2023-11-05 09:10:00,4.803,4.804,4.798,4.8,13696.49
2023-11-05 09:15:00,4.8,4.805,4.792,4.8,17425.52
2023-11-05 09:20:00,4.8,4.803,4.798,4.802,3062.14
2023-11-05 09:25:00,4.802,4.805,4.8,4.805,6142.38
2023-11-05 09:30:00,4.804,4.805,4.794,4.799,3906.73
2023-11-05 09:35:00,4.802,4.81,4.8,4.806,102482.71
2023-11-05 09:40:00,4.807,4.81,4.798,4.799,7559.42
2023-11-05 09:45:00,4.8,4.81,4.799,4.809,7869.8
2023-11-05 09:50:00,4.809,4.81,4.775,4.787,79403.74
2023-11-05 09:55:00,4.787,4.79,4.769,4.786,78206.6
2023-11-05 10:00:00,4.786,4.799,4.782,4.794,20763.2
2023-11-05 10:05:00,4.794,4.806,4.79,4.799,26406.22
2023-11-05 10:10:00,4.799,4.802,4.777,4.777,64441.3
2023-11-05 10:15:00,4.777,4.788,4.76,4.767,101820.35
2023-11-05 10:20:00,4.767,4.782,4.753,4.76,79103.16
2023-11-05 10:25:00,4.76,4.772,4.759,4.769,45876.06
2023-11-05 10:30:00,4.768,4.773,4.762,4.77,10193.6
2023-11-05 10:35:00,4.77,4.781,4.765,4.767,15831.72
2023-11-05 10:40:00,4.769,4.786,4.768,4.786,7524.17
2023-11-05 10:45:00,4.786,4.798,4.785,4.798,9905.05
2023-11-05 10:50:00,4.797,4.8,4.793,4.8,9748.71
2023-11-05 10:55:00,4.8,4.803,4.796,4.801,2871.66
2023-11-05 11:00:00,4.801,4.803,4.783,4.792,7489.68
2023-11-05 11:05:00,4.791,4.8,4.781,4.789,8917.16
2023-11-05 11:10:00,4.789,4.805,4.777,4.801,10111.55
2023-11-05 11:15:00,4.801,4.803,4.779,4.795,15927.93
2023-11-05 11:20:00,4.792,4.798,4.787,4.794,19317.97
2023-11-05 11:25:00,4.793,4.804,4.788,4.803,18337.83
2023-11-05 11:30:00,4.802,4.804,4.794,4.796,14073.21
2023-11-05 11:35:00,4.795,4.798,4.769,4.784,41906.95
2023-11-05 11:40:00,4.784,4.793,4.777,4.777,8423.07
2023-11-05 11:45:00,4.779,4.788,4.776,4.782,9147.17
2023-11-05 11:50:00,4.783,4.79,4.771,4.789,5911.45
2023-11-05 11:55:00,4.79,4.792,4.777,4.788,13456.38
2023-11-05 12:00:00,4.787,4.8,4.783,4.8,16243.0
2023-11-05 12:05:00,4.798,4.805,4.791,4.794,17313.61
2023-11-05 12:10:00,4.793,4.795,4.785,4.785,13292.05
2023-11-05 12:15:00,4.785,4.789,4.755,4.77,26350.19
2023-11-05 12:20:00,4.769,4.79,4.759,4.789,11203.25
2023-11-05 12:25:00,4.789,4.795,4.777,4.794,11082.04
2023-11-05 12:30:00,4.793,4.8,4.782,4.784,12683.32
2023-11-05 12:35:00,4.783,4.798,4.778,4.796,10263.14
2023-11-05 12:40:00,4.797,4.807,4.795,4.805,9326.74
2023-11-05 12:45:00,4.806,4.808,4.804,4.805,7812.32
2023-11-05 12:50:00,4.806,4.809,4.802,4.805,2212.43
2023-11-05 12:55:00,4.805,4.821,4.803,4.804,66178.54
2023-11-05 13:00:00,4.806,4.82,4.799,4.81,75619.02
2023-11-05 13:05:00,4.809,4.821,4.798,4.818,77373.21
2023-11-05 13:10:00,4.819,4.823,4.797,4.798,16298.81
2023-11-05 13:15:00,4.798,4.799,4.784,4.794,8529.0
2023-11-05 13:20:00,4.795,4.795,4.765,4.769,21671.08
2023-11-05 13:25:00,4.768,4.776,4.76,4.771,10427.18
2023-11-05 13:30:00,4.772,4.786,4.763,4.786,9298.54
2023-11-05 13:35:00,4.784,4.787,4.774,4.779,6953.67
2023-11-05 13:40:00,4.781,4.784,4.761,4.768,6763.0
2023-11-05 13:45:00,4.768,4.779,4.758,4.76,3695.34
2023-11-05 13:50:00,4.759,4.759,4.72,4.73,41135.8
2023-11-05 13:55:00,4.731,4.731,4.615,4.65,160482.93
2023-11-05 14:00:00,4.652,4.7,4.65,4.695,43652.85
2023-11-05 14:05:00,4.694,4.697,4.666,4.668,101259.28
2023-11-05 14:10:00,4.668,4.683,4.638,4.671,91294.35
2023-11-05 14:15:00,4.671,4.685,4.654,4.679,113206.25
2023-11-05 14:20:00,4.679,4.68,4.654,4.667,101186.28
2023-11-05 14:25:00,4.666,4.673,4.65,4.657,84527.69
2023-11-05 14:30:00,4.658,4.678,4.651,4.675,42496.03
2023-11-05 14:35:00,4.675,4.676,4.635,4.649,47631.03
2023-11-05 14:40:00,4.648,4.662,4.635,4.659,19600.67
2023-11-05 14:45:00,4.66,4.666,4.645,4.652,13972.86
2023-11-05 14:50:00,4.652,4.681,4.65,4.671,14625.41
2023-11-05 14:55:00,4.671,4.679,4.663,4.675,25123.37
2023-11-05 15:00:00,4.676,4.682,4.654,4.67,25377.87
2023-11-05 15:05:00,4.671,4.682,4.658,4.658,9142.34
